Playlist Index,GT Name,Retrieved Name
0,The Tide Is High - Rerecorded 2014 Version,Under The Bridge
0,Need You Now,Into The Mystic
0,Just a Kiss,Daylight
0,"10,000 Reasons (Bless The Lord) - Live",Dancing in the Moonlight
0,Dancing Queen,Margaritaville
0,Piano Man,Once
0,Love Is A Battlefield,Summer Nights
0,FourFiveSeconds,Surfin' U.S.A.
0,Wake Me Up When September Ends,Take It Easy
0,Marvin Gaye (feat. Wale) - Remix,Euphoria
0,Watch Me (Whip / Nae Nae),Sweet Child O' Mine
0,Bad Day,Do You Know
0,Start Of Something New,Where The Streets Have No Name
0,What I've Been Looking For,Dancing Queen
0,Stick To The Status Quo,Money For Nothing
0,When There Was Me And You,Stolen Dance
0,Bop To The Top,Livin' On A Prayer
0,Breaking Free,Clocks
0,What Time Is It,Fix You
0,Fabulous,Californication
0,Work This Out,Viva La Vida
0,"You Are The Music In Me - From ""High School Musical 2""/Soundtrack Version",Roar
0,I Don't Dance,Don't Try So Hard
0,Gotta Go My Own Way,Firework
0,Bet On It,Just Dance
0,Everyday,I Need Your Love
0,All For One,Grenade
0,Humuhumunukunukuapua'a,Budapest
0,Now Or Never,I Was Made To Love Him
0,I Want It All,Carolina
0,Can I Have This Dance,Shut Up and Dance
0,A Night To Remember,Born to Be Wild
0,Just Wanna Be With You,Friday I'm In Love
0,The Boys Are Back,Hound Dog
0,Walk Away,What's Up?
0,Senior Year Spring Musical,Seven Nation Army
0,High School Musical,Games
0,This Is Me,Hot N Cold
0,Too Cool,my boy
0,Hasta La Vista,Lovely Day
0,Gotta Find You,Ain't No Sunshine
0,Play My Music,Always Somewhere
0,Year 3000,My Love
0,S.O.S.,Call Me Maybe
0,Toothbrush,September
0,We Don't Talk Anymore (feat. Selena Gomez),Party In The U.S.A.
0,"i hate u, i love u (feat. olivia o'brien)",With Or Without You
0,My Boo - Hitman's Club Mix,Poker Face
0,Absolutely (Story of a Girl) - Radio Mix,Shape of You
0,The Way You Love Me,Stayin' Alive
0,When I Was Your Man,Smells Like Teen Spirit
0,Just the Way You Are,Bohemian Like You
0,Count On Me,Go Gina
0,What Makes You Beautiful,Stand Out
0,One Thing,Wrecking Ball
0,Tell Me a Lie,Summer Of '69
0,Live While We're Young,Wonderwall
0,Little Things,Country Girl (Shake It For Me)
0,They Don't Know About Us,Paris
0,Story of My Life,Hypnotic
0,Steal My Girl,Dog Days Are Over
0,Perfect,I'm a Believer
0,End of the Day,Dancing Queen
0,Olivia,Havana
0,I Want to Write You a Song,Ride
0,She Looks So Perfect,Rolling in the Deep
0,18,Wake Me up Before You Go-Go
0,She's Kinda Hot,Umbrella
0,All-American Girl,In The Night
0,I Will Always Love You,In the Summertime
0,Ride,Overjoyed
0,Rude,Don't Stop Believin'
0,I'm Gonna Be (500 Miles),Waka Waka (This Time for Africa) - K-Mix
0,Don't Go Breaking My Heart,Times Like These
0,Walking On Sunshine,Castle
0,Hey There Delilah,Radioactive
0,Footloose,Gangnam Style (강남스타일)
0,Hips Don't Lie,Take On Me
0,I Want It That Way,Widow
0,"Hey, Soul Sister",Born In The U.S.A.
0,Come On Eileen,Life Is A Highway
0,She's so High,We Will Rock You
0,Sweet Dreams (Are Made of This) - Remastered,Cruise
0,Stayin' Alive,Life's a Beach
0,ABC,Ebenezer
0,Wannabe - Radio Edit,The Lazy Song
0,Viva La Vida,Dear Hate
0,Take On Me,Electric Love
0,Oops!...I Did It Again,New Shoes
0,Hey Jude - Remastered 2015,Walking On A Dream
0,Bye Bye Bye,Red Red Wine
0,I Will Survive,Stairway To Heaven
0,My Girl,Sweet Home Alabama
0,Ice Ice Baby,Imagine
0,Escape (The Pina Colada Song),Mellow Yellow
0,Jessie's Girl,Song 6
0,Waka Waka (This Time for Africa) (The Official 2010 FIFA World Cup (TM) Song),Shake It Off
0,If I Had A Million Dollars,California 2005
0,Where Is The Love?,Beachin'
0,One Way or Another (Teenage Kicks),Soak Up The Sun
0,A Drop In The Ocean,Chasing the Sun
0,I'll Be,Once In A Lifetime
0,Never Stop,Some Beach
0,Die a Happy Man,Nfl On Fox
0,I Won't Give Up,Under the Boardwalk
0,Use Somebody (feat. Hannah Trigwell),Blue Sky
0,"Dear Maria, Count Me In",Dancing in the Street
0,I Just Haven't Met You Yet,Summer
0,100 Years,Two Suns in the Sunset
0,Smile,Sunshine And Summertime
0,You Found Me,Homicide
0,Marry Me,Lovely Day
0,"Save Me, San Francisco",Badge - Live
0,Kokomo,Sand in My Shoes
0,Chloe (You're the One I Want),Summertime Blues
0,Beverly Hills,Brighter Than Sunshine
0,Sk8er Boi,Playa Boi
0,Follow Me,Sand in My Shoes
0,Fallin' For You,The Boys Of Summer
0,Here Comes The Sun - Remastered,Ocean Front Property
0,Don't Let Me Down,Summertime
0,For the First Time,Breakfast At Tiffany's
0,Love Like Woe,Grenade
0,You And Me,Counting Stars
0,Marry You,Stand
0,I Never Told You,The Sun Always Shines On Tv
0,Til The Day I Die,Walkin' On The Sun
0,Life Is A Highway,The Sun
0,Bubbly,California Roll
0,Lucky,Surf City
0,YOUTH - Gryffin Remix,Drift Away
0,Never Gonna Let You Down,Malibu
0,Halo,America
0,Stay - Album Version (Edited),Good Life
0,Someone Like You,Go Flex
0,human,Surfer Girl
0,"Lollipop - From ""Pitch Perfect 2"" Soundtrack",Island In The Sun
0,Hero,Golden Days
0,Big Girls Don't Cry (Personal),I Can See Clearly Now
0,Stay With Me,California Dreamin'
0,Sunday Morning,In My Place
0,Let Her Go,Dancing Barefoot
0,Budapest,Fly Over States
0,Problem,Cold Beverage
0,Don't Matter,The Sound Of Sunshine
0,Ridin' Solo,Run Run Run
0,It Girl,This Is The Life
0,Dumb,Summer In The City
0,Talk Dirty (feat. 2 Chainz),Twilight
0,Marry Me,Waiting For The Sun
0,Take A Bow - Main,Good Vibrations
0,Man in the Mirror - 2012 Remaster,Island In The Sun
0,Straight Up,The Sun
0,Irreplaceable - Live,Sun It Rises
0,If I Were a Boy,Mexico
0,Clumsy,Feel Good Inc
0,Summer Nights - From “Grease” Soundtrack,So What'Cha Want
0,You're The One That I Want - From “Grease” Soundtrack,The Suburbs
0,Hopelessly Devoted To You,Long Cool Woman (In a Black Dress)
0,Beauty School Dropout,Mustang Sally
0,Look At Me I'm Sandra Dee,Born to Be Wild
0,Greased Lightnin',Spirit In The Sky
0,Those Magic Changes,Barbeque
0,We Go Together,Summertime Thing
0,Jenny 867-5309,Heatwave
0,Right Now (Na Na Na),Glory Days
0,Brown Eyed Girl,Sunny Disposition
0,Maybe,Summer Girls
0,It's The Hard-Knock Life,Flipside
0,Tomorrow,You And Your Heart
0,I Think I'm Gonna Like It Here (2014 Film Version),Sweater Weather
0,You're Never Fully Dressed Without a Smile (2014 Film Version),Feel It Still
0,Easy Street (2014 Film Version),Love My Way
0,I Don't Need Anything But You (2014 Film Version),Bar One
0,Closer,High By The Beach
0,Cupid's Chokehold / Breakfast In America,Favorite Record
0,You & Me,American Pie
1,(You Drive Me) Crazy,Naked
1,Oops!...I Did It Again,Don't Speak
1,Stronger,Total Eclipse of the Heart
1,Lucky,Like A Virgin
1,I'm a Slave 4 U,Just Dance
1,Me Against the Music - LP Version / Video Mix,Beautiful
1,Toxic,Moonshine
1,Brave New Girl,my boy
1,Gimme More,Mr. Brightside
1,Piece of Me,Mole
1,Womanizer,Ben
1,Circus,Born This Way
1,Till the World Ends,Oops!...I Did It Again
1,Hold It Against Me,Livin' la Vida Loca
1,Work B**ch,Bleeding Love
1,Genie in a Bottle,Rolling in the Deep
1,What a Girl Wants,Party In The U.S.A.
1,Come on over Baby (All I Want Is You) - Radio Version,...Baby One More Time
1,Fighter,Single Ladies
1,Beautiful,Blurred Lines
1,Ain't No Other Man,Like I Love You
1,Candy,Style
1,Have a Little Faith In Me,Hot N Cold
1,Graduation (Friends Forever),Look What You Made Me Do
1,With You,Shake It Off
1,I Wanna Love You Forever,All About That Bass
1,I Think I'm in Love with You,Cry Me a River
1,I Do (Cherish You),Genie in a Bottle
1,The Hardest Thing,As You Are
1,Summer Girls,Inside
1,Wannabe - Radio Edit,Lush Life
1,Say You'll Be There - Single Mix,Right Here
1,Good For You,Fin de Semana
1,Same Old Love,Bad Together
1,Come & Get It,Call Me Maybe
1,Love You Like A Love Song,Domino
1,Cool for the Summer,Havana
1,Confident,Poker Face
1,Really Don't Care,Love Story
1,Heart Attack,The Light
1,S.O.S.,Finesse
1,Paranoid,Starships
1,What Makes You Beautiful,New Rules
1,Kiss You,Homesick
1,She's Not Afraid,Fancy
1,Best Song Ever,The Show Must Go On
1,Story of My Life,Halo
1,Steal My Girl,Firework
1,Party In The U.S.A.,Better Left Unsaid
1,We Can't Stop,Shape of You
1,Wrecking Ball,Cheap Thrills
1,Step by Step,Big Lie
1,You Got It (The Right Stuff),Can't Stop the Feeling
1,Bellas Finals: Price Tag/Don’t You (Forget About Me)/Give Me Everything/Just The Way You Are/Party In The U.S.A./Turn The Beat Around,Every Time You Go
1,Heartbeat Song,Ghost
1,Since U Been Gone,She Will Be Loved - Demo
1,Stronger (What Doesn't Kill You),Bad Liar
1,Because of You,Go Flex
1,Invincible,Lost On You
1,Just Give Me a Reason,In The Night
1,Get The Party Started,Roar
1,L.A.LOVE (la la),What Makes You Beautiful
1,Fergalicious,Story of My Life
1,Glamorous,Closer
1,London Bridge,Work
1,Clumsy,Thinking Out Loud
1,Big Girls Don't Cry (Personal),Carolina
1,Canned Heat,Perfect
1,Virtual Insanity - Remastered,Hands On Me
1,Girl On TV,Crying in the Club
1,Welcome To New York,Cool for the Summer
1,Blank Space,Baby
1,Style,Room For 2
1,Out Of The Woods,Run Away With Me
1,All You Had To Do Was Stay,Good As Hell
1,Shake It Off,Wolves
1,I Wish You Would,One Touch
1,Bad Blood,Nicotine
1,Wildest Dreams,Good For You
1,How You Get The Girl,Hep Hop
1,This Love,Glad You Came
1,I Know Places,Alone
1,Clean,Time Time Time
1,Wonderland,Games
1,You Are In Love,Cheer
1,New Romantics,Rise Up
1,"Hey, Soul Sister",美女と野獣
1,Levels,Strip That Down
1,Focus,Ready
1,Want to Want Me,The Greatest
1,Stitches,Lit Thot
1,Just the Way You Are,Without
1,Teenage Dream (Glee Cast Version),Saxofon
1,Rather Be,Humanize
1,One Last Time,Ride with Me
1,Love Me Harder,Patient
1,Bang Bang,Attention
1,Break Free,Believe
1,Problem,I Need Your Love
1,The Way,Fight Song
1,Tattooed Heart,"Hey, Soul Sister"
1,Popular Song,Many Moons
1,Break Your Heart Right Back,It's My Life
1,Like I'm Gonna Lose You,It Girl
1,Dear Future Husband,Royals
1,All About That Bass,Te Amo
1,Lips Are Movin,Give Your Heart A Break
1,Title,Shame On Me
1,Firework,I'm Not The Only One
1,Dark Horse,Real Love
1,Last Friday Night (T.G.I.F.),Rude
1,California Gurls - feat. Snoop Dogg,Counting Stars
1,Wide Awake,Only Girl (In The World)
1,Roar,Love You Lately
1,The One That Got Away,My House
1,I Kissed a Girl,Fancy
1,Hot N Cold,I Took A Pill In Ibiza
1,Someone Like You,Hallelujah
1,Set Fire to the Rain,Best Day Of My Life
1,Rolling in the Deep,Where Are You Now?
1,Rumour Has It,Animals
1,Make You Feel My Love,This Is What You Came For
1,Fuck You,PILLOWTALK
1,Smile,You Light My Fire
1,Somewhere Only We Know,Chained To The Rhythm
1,Mercy,Needed Me
1,Back To Black,Can't Feel My Face
1,Rehab,Holiday Rap - Maxi
1,"Valerie - Live At BBC Radio 1 Live Lounge, London / 2007",Wildest Dreams
1,Shower,The Road
1,Break a Sweat,Faded
1,BO$$,Stitches
1,Sledgehammer,Stronger
1,Worth It,The Hills
1,Move,This Love
1,Black Magic,I Know It's Over
1,Want U Back,Super Bass
1,Domino,Locked Out Of Heaven
1,Price Tag,Sorry
1,Umbrella,Don't
1,FourFiveSeconds,Hitchhiker
1,S&M,Hold My Hand
1,Only Girl (In The World),A Sky Full of Stars
1,We Found Love,Budapest
1,I Need Your Love,Fantasy
1,"Love Me Like You Do - From ""Fifty Shades Of Grey""",Not a Bad Thing
1,Burn,Team
1,Lights - Single Version,Elastic Heart
1,Drops of Jupiter,Waves
1,Meet Virginia,Cool Kids
1,Drive By,River
1,50 Ways to Say Goodbye,Work from Home
1,Alive,Oi Oi
1,Chandelier,Bad Blood
1,Elastic Heart,The One That Got Away
1,Skyfall - Full Length,Gangsta Party
1,Stay With Me,Black Widow
1,I'm Not The Only One,The Sound
1,Latch,Shout Out to My Ex
1,Counting Stars,NO
1,Apologize,Hey Jude
1,Love Runs Out,One Last Time
1,If I Never See Your Face Again,Love Yourself
1,Harder To Breathe,Grenade
1,This Love,Bad As I Am
1,She Will Be Loved - Radio Mix,24K Magic
1,Sunday Morning,Dangerous Woman
1,Secret,Into You
1,Sweetest Goodbye,Worth It
1,Woman - Demo,Closer
1,Ragdoll - Original Demo/Non-LP International B-Side,Wildest Dreams
1,If I Fell - Acoustic,Castle
1,Makes Me Wonder,Let Her Go
1,Wake Up Call,Heart Attack
1,Won't Go Home Without You,Love Me Again
1,Misery,Try
1,One More Night,Royals
1,Daylight,Radioactive
1,Love Somebody,Wide Awake
1,Maps,This World is Watching Me
1,Animals,We Can't Stop
1,It Was Always You,Don't Stop Believin'
1,Sugar,Pumped Up Kicks
1,Payphone,All of Me
1,This Summer - Maroon 5 vs. Alesso,Stay With Me
1,Feelings,Summer
1,Call And Answer,Come & Get It
1,One Week,Am I Wrong
1,Pinch Me,Balar
1,"If I Had $1,000,000",Baby
1,Light Up My Room,Skyfall
1,Harlem,La La La
1,Tonight You're Perfect,Mirrors
1,All Star,Elastic Love
1,Walkin' On The Sun,Classic
1,I'm A Believer,Gorilla
1,Can't Get Enough Of You Baby,It's A Beautiful Day
1,Satellite,Good Feeling
1,Crash into Me,Sugar
1,Ants Marching,Beauty And A Beat
1,Satellite,Trust in Me
1,So Much to Say,Don't You Worry Child
1,What Would You Say,Just the Way You Are
1,Crush,Quicklime
1,Banana Pancakes,What You Do to Me
1,Better Together,Feel
1,"Sitting, Waiting, Wishing",Nobody's Home
1,Taylor,Shake It
1,Never Going Back Again (Glee Cast Version),Many Moons
1,Lucky (Glee Cast Version),Get The Party Started
1,Cake By The Ocean,Call On Me
1,Because Of You,Tattoo
1,God Must Have Spent a Little More Time on You - Remix,Empire State Of Mind
1,We Don't Talk Anymore (feat. Selena Gomez),SexyBack
1,Into You,Teenage Dream
1,Cheap Thrills,Beautiful Girls
1,Final Song,What Goes Around...Comes Around - Radio Edit
1,NO,The Sweet Escape
1,Me Too,Paradise
1,Champagne Problems,One More Night
1,I'm a Lady - from SMURFS: THE LOST VILLAGE,Payphone
1,Shape of My Heart,Do It Well
1,Show Me the Meaning of Being Lonely,Doing It
1,Every Morning,How You Remind Me - LP Mix
1,Someday,It's My Life
1,Fly,Numb
1,When It's Over - David Kahne Main,Poker Face
1,Play That Song,Just Lose It
1,Angel in Blue Jeans,Radioactive
1,Hollaback Girl,Here I Go
1,Rich Girl,Drag Me Down
1,Company,Good For You
1,What Do You Mean?,Take Me To Church
1,Sorry,Animals
1,Love Yourself,I Really Like You
1,I'll Show You,Chains
1,The Feeling,Move
1,No Pressure,Want to Want Me
1,Let Me Love You,Lips Are Movin
1,Chained To The Rhythm,Hey Brother
2,On The Dark Side,Take On Me
2,Take My Breath Away,Morphine
2,(I've Had) The Time of My Life,Time After Time
2,White Wedding - Pt. 1,Crazy Little Thing Called Love - Live
2,Uptown Girl,Don't Stop Believin'
2,The Longest Time,Africa
2,We Didn't Start the Fire,Red Red Wine
2,Caribbean Queen (No More Love On the Run),Sweet Child O' Mine
2,"When the Going Gets Tough, The Tough Get Going",Girls Just Want to Have Fun
2,Just A Friend,Another One Bites The Dust - Live
2,Ride On Time - Massive Mix,You Spin Me Round (Like a Record)
2,Total Eclipse of The Heart,Hungry Like The Wolf - Live
2,I Want Candy,Billie Jean
2,The Way It Is,What You Want
2,Glory Days,Everybody Wants To Rule The World
2,Dancing In The Dark,Sweet Dreams (Are Made of This)
2,Born In The U.S.A.,Don't You (Forget About Me)
2,Pac-Man Fever (Re-Recorded / Remastered),Under Pressure - Live
2,Word Up,Push It
2,The Flame - Single Version,I Was Made To Love Him
2,You're a Friend of Mine,Hit Me With Your Best Shot
2,Should I Stay or Should I Go - Remastered,Karma Chameleon
2,Rock the Casbah - Remastered,Summer Of '69
2,Lean On Me (Re-Recorded / Remastered),Here Comes The Rain Again - Live
2,Sunglasses At Night,Livin' On A Prayer
2,Karma Chameleon - 2002 - Remaster,Whip It
2,(I Just) Died in Your Arms,Ben
2,Girls Just Want to Have Fun,Power Of Love
2,Time After Time,Never Gonna Give You Up
2,True Colors,Dancing In The Dark
2,Rich Girl,Should I Stay or Should I Go - Live
2,Out of Touch - Remastered,Take My Breath Away
2,Maneater - Remastered,I Want To Know What Love Is
2,You Make My Dreams - Remastered,We Built This City
2,I Can't Go for That (No Can Do) - Remastered,Born In The U.S.A.
2,China Girl - 2002 Remastered Version,Heaven Is A Place On Earth
2,Let's Dance - 1999 Remastered Version,Thriller
2,You Spin Me Round (Like a Record),Like A Prayer
2,Lost In Your Eyes,Down Under
2,Only In My Dreams,Love Shack
2,Let's Hear It for the Boy,Once
2,Just Can't Get Enough - Remastered,Sweet Love
2,Come On Eileen,Flashdance... What A Feeling
2,Parents Just Don't Understand,Physical
2,Islands In The Stream,Pour Some Sugar on Me
2,Heartbeat,Glory Of Love
2,The Show,Hold Me Now
2,The Reflex - Single Version;2010 Remastered Version,Missing You
2,Let's Groove,Girls On Film - Live
2,Take Me Home Tonight,The Look
2,Party All the Time,Small
2,"Rock ""n"" Roll Is King",I'm Still Standing
2,Hungry Eyes,Always On My Mind
2,Sweet Dreams (Are Made of This) - Remastered,It's Alright
2,Rock Me Amadeus - The Gold Mix,Higher Love
2,Jail House Rap,99 Red Balloons
2,She Drives Me Crazy,We are the Clash
2,One Thing Leads To Another,New Sensation
2,I Ran,Pump Up The Jam
2,Faith - Remastered,Bizarre Love Triangle
2,Father Figure - Remastered,All Night Long (All Night)
2,Conga,Any Way You Want It
2,Rhythm is Gonna Get You,Love
2,Anything for You,Back in Black
2,We Got The Beat,Atomic
2,Sweet Child O' Mine,Beds Are Burning
2,What About Love?,Buffalo Soldier
2,Rockit,Careless Whisper
2,The Real Roxanne,"December, 1963 (Oh What A Night!)"
2,All You Zombies,Fantasy
2,The Power Of Love,Brothers In Arms
2,Centerfold,Every Little Thing She Does Is Magic - Remastered 2003
2,Living In America,Funkytown
2,"Believe It or Not (Theme From ""Greatest American Hero"")",Glory Days
2,C.I.T.Y.,I Can't Tell You Why
2,Don't Stop Believin',Jump (For My Love)
2,Any Way You Want It,Just Like Heaven
2,Open Arms,Magic Dance
2,Too Shy,Little Red Corvette
2,Give It Up,Love Is A Battlefield
2,Footloose,Money For Nothing
2,Danger Zone,Owner Of A Lonely Heart
2,Bette Davis Eyes,Paradise City
2,You Keep Me Hangin On,Digg It
2,The Breaks,Rapper's Delight
2,All Night Long (All Night) - Single Version,Stayin' Alive
2,This Is The Right Time - Remastered,True
2,Rock The Bells,Tainted Love
2,Turn Me Loose,What's Love Got to Do with It
2,Working for the Weekend,Wake Me up Before You Go-Go
2,Never Too Much,When Doves Cry
2,Pop Muzik,You Give Love A Bad Name
2,Our House,One Love / People Get Ready
2,Like A Prayer,Another Day In Paradise - Live
2,Material Girl,Macho Macho
2,Like A Virgin,Lean on Me
2,Sexual Healing,The Getaway
2,Down Under,Just Can't Get Enough - Live
2,Who Can It Be Now?,Heartbreaker
2,How Am I Supposed to Live Without You,Can't Fight This Feeling
2,Rock On - Ver. 09,It's My Life - US Mix
2,Thriller - 2003 Edit,The Valley
2,Smooth Criminal - 2012 Remaster,It's Raining Men
2,The Girl Is Mine,Shake It Up
2,P.Y.T. (Pretty Young Thing),Hold On Loosely
2,Theme From Hill Street Blues - Theme from Hill St. Blues,Centerfold
2,Your Wildest Dreams,Jessie's Girl
2,Kyrie,Love Will Tear Us Apart
2,Broken Wings,The Safety Dance
2,One Night In Bangkok - From “Chess” / Remastered 2016,Don't Dream It's Over
2,99 Red Balloons,Master Blaster (Jammin')
2,I'll Be Loving You (Forever),Hip To Be Square
2,Hangin' Tough,You Shook Me All Night Long
2,You Got It (The Right Stuff),West End Girls
2,Blue Monday - 2015 Remastered Version,Abracadabra
2,Jam On It,"Believe It or Not (Theme From ""Greatest American Hero"")"
2,Crazy Train - Remastered,On The Wings Of Love
2,Shot in the Dark,Upside Down
2,You Can Call Me Al,Let's Hear It for the Boy
2,Graceland,Papa Don't Preach
2,Every Time You Go Away,She Works Hard For The Money
2,Straight Up,Beat's So Lonely
2,Glory Of Love,Tom's Diner
2,In The Air Tonight - 2015 Remastered,Sign 'O' The Times
2,Sussudio - 2016 Remastered,In the Air Tonight
2,I'm So Excited,Like A Virgin
2,Every Rose Has Its Thorn - 2003 - Remaster,Material Girl
2,Every Breath You Take - Remastered 2003,Raspberry Beret
2,Funky Town,Loving You
2,Pretty in Pink,If You Leave
2,Love My Way,What Do You Do When Love Dies
2,Harden My Heart,Too Shy
2,Mama Weer All Crazee Now,I Love Rock n' Roll
2,Metal Health (Bang Your Head),Ghostbusters
2,Cum on Feel the Noize,Maneater
2,Ghostbusters,Uptown Girl
2,Keep on Loving You - Remastered,I'm A Fishin' Man
2,Can't Fight This Feeling,Heaven
2,Together Forever,Every Rose Has It's Thorn
2,Never Gonna Give You Up,Just What I Needed
2,Jessie's Girl,Do You Really Want To Hurt Me
2,Addicted To Love - Edit,Don't You Want Me
2,You Got It,Come On Eileen
2,Walk This Way,Sledgehammer
2,Rock Box,Tempted
2,It's Tricky,Free Fallin'
2,Smooth Operator - Single Version,Where The Streets Have No Name
2,The Sweetest Taboo,We Didn't Start the Fire
2,Push It,Total Eclipse of the Heart
2,Touch Me (I Want Your Body),Back To Life (However Do You Want Me) - Feat. Caron Wheeler
2,Naughty Girls (Need Love Too),Celebration
2,I Can't Drive 55,Don't Hold Anything Back
2,Don't You (Forget About Me),I'm Coming Out
2,How Soon Is Now? - 2011 Remastered Version,War
2,True,Friends
2,Sara,I Want Candy
2,We Built This City,With Or Without You
2,Oh Sherrie,Footloose
2,Higher Love - Full Album Version,I'm So Excited
2,The Message (feat. Melle Mel & Duke Bootee),A Winter's Tale
2,Eye of the Tiger,Don't Look Back in Anger
2,I Can't Hold Back,Your Love
2,High on You,Sweet Sixteen
2,Burning Heart,Shout
2,Burning Down The House (45 Version),Sharp Dressed Man
2,Tell It to My Heart,Purple Rain
2,Prove Your Love,Sweet Home Alabama
2,Love Will Lead You Back,Eye of the Tiger
2,Everybody Wants To Rule The World,Welcome To The Jungle
2,Wishing Well,Word Up
2,This Is The Day,Wishing Well
2,Uncertain Smile,Addicted To Love
2,Hold Me Now (Extended Short),Let My Love Open The Door
2,I Think We're Alone Now,Patience
2,Jungle Love,Strong Enough
2,What's Love Got to Do with It,White Wedding
2,Free Fallin',Walk This Way
2,Mickey,Cha Cha Love
2,Rosanna,Call Me
2,Africa,Don't Worry Be Happy
2,"Roxanne, Roxanne",Straight Up
2,Everybody Have Fun Tonight,The Boys Of Summer
2,It's Raining Men,Into The Groove
2,Wake Me up Before You Go-Go,Personal Jesus
2,Here I Go Again 87 - 2017 Remastered Version,The Message
2,I Wanna Dance with Somebody (Who Loves Me),Brass In Pocket - Live
2,So Emotional,Never Tear Us Apart
2,Saving All My Love for You,A Little Respect
2,Situation,More Than This
2,Take On Me,Old
2,Only the Good Die Young,Once In A Lifetime - Live
2,She's Always a Woman,King in a Catholic Style
2,Just the Way You Are,Fast Car
2,Bohemian Rhapsody - Remastered 2011,Paid In Full
2,Another One Bites The Dust - Remastered 2011,True Faith
2,Under Pressure - Remastered 2011,Lovesong
2,We Will Rock You - Remastered,Going Underground
2,Somebody To Love - Remastered 2011,Beds Are Burning
2,Fat Bottomed Girls,She Drives Me Crazy
2,We Are The Champions - Remastered 2011,Smalltown Boy
2,Mandolin Rain,I Got You
2,The End Of The Innocence,Over My Head
2,The Heart Of The Matter,Broken Wings
2,Born to Run,Teardrops
2,The Promise,This Is Mine
2,Barracuda,Baggy Trousers
2,These Dreams,Shake the Disease
2,The Heart Of Rock And Roll,Groovy Train
2,Faithfully,Town Called Malice
2,Wheel in the Sky,Blue Monday
2,Lights,Happy Hour
2,This Is It,Pull Up To The Bumper
2,"I'm Alright (Theme from ""Caddyshack"")",The Breaks
2,I Won't Back Down,It's Different For Girls
2,Take It On the Run - Remastered,Dancing With Myself
2,Mr. Roboto - Live In New Orleans/1983,Being With You
2,Come Sail Away,Amulet
2,Mr. Roboto,Turn the Beat Around
2,After All (Love Theme From Chances Are),All I Do
2,Jump (For My Love),P.Y.T. (Pretty Young Thing)
2,Slow Hand,Stop! In The Name Of Love
2,Leather And Lace - Remastered,Waiting for a Star to Fall
2,Edge of Seventeen - Remastered,Fame
2,I Will Run To You - Remastered,Working My Way Back to You
2,The Boys Of Summer,Our Lips Are Sealed
2,All She Wants To Do Is Dance,I Can't Go For That (No Can Do)
2,More Than This,Rhythm Nation
2,Brass In Pocket - 2006 Remastered Version,Express Yourself
2,Don't Stop 'Til You Get Enough - Single Version,Fantasy
