,artist_name,track_name,in_gt,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
66,Antonio Vivaldi,"Concerto For 2 Violins, Strings And Continuo In G Major, RV 516: 1. Allegro molto",False,0.49,0.175,1,-18.611,1,0.0536,0.867,0.000124,0.147,0.473,121.242
67,Glenn Miller,On a Little Street in Singapore - Remastered,False,0.498,0.156,1,-11.039,1,0.0278,0.83,0.00336,0.174,0.431,109.658
68,The Passions,You Don't Love Me Anymore,False,0.456,0.2,2,-15.134,1,0.0264,0.806,0.0,0.164,0.46,95.468
69,Original London Cast,I Enjoy Being A Girl - From 'Flower Drum Song',False,0.539,0.176,2,-13.442,1,0.0353,0.853,0.0,0.113,0.546,99.729
70,Greg Davis,Vincent,False,0.519,0.195,7,-14.766,1,0.0313,0.824,0.0,0.18,0.464,97.883
71,Georg Philipp Telemann,"Tafelmusik - Banquet Music In 3 Parts / Production 2 - 3. Concert In F Major, TWV53:A2: 1. Allegro",False,0.53,0.164,4,-18.032,1,0.0429,0.821,0.00429,0.116,0.529,104.607
72,Nat King Cole,Walkin' My Baby Back Home,False,0.472,0.194,1,-14.263,1,0.0451,0.849,0.0,0.176,0.431,100.908
73,Doc & Merle Watson,Miss the Mississippi & You,False,0.535,0.154,2,-17.388,1,0.0492,0.821,5.3e-06,0.113,0.501,101.485
74,Jerry Garcia,Drifting Too Far From The Shore,False,0.477,0.209,7,-13.573,1,0.0365,0.903,9.4e-05,0.209,0.484,93.193
75,Acapella Praise,Mourning Into Dancing,False,0.501,0.148,2,-13.594,1,0.0429,0.825,0.0,0.126,0.535,87.396
76,Resound,Lift Every Voice,False,0.429,0.196,0,-8.407,1,0.0361,0.882,0.0,0.206,0.487,116.168
77,Brenda Lee,I Want To Be Wanted (Per Tutta La Vita) - Single Version,False,0.492,0.227,8,-15.485,1,0.0299,0.799,0.0,0.17,0.51,108.493
78,Original Cast Of The King And I,"Song of the King (From ""The King and I"")",False,0.554,0.166,5,-17.752,1,0.0715,0.902,1.74e-06,0.19,0.561,105.929
79,Flor Silvestre,Cielo Rojo,False,0.46,0.194,0,-10.958,1,0.0385,0.896,0.0,0.165,0.458,96.935
80,MAYBEBOP,Hark! The Herold Angels Sing,False,0.514,0.177,3,-12.404,1,0.0505,0.917,0.0,0.146,0.502,117.688
81,Lola Beltrán,Cucurrucucú Paloma,False,0.534,0.199,1,-9.977,1,0.0387,0.868,0.00137,0.154,0.446,105.176
82,La Paquera De Jerez,En Tus Palabras Creí,False,0.483,0.199,0,-16.233,1,0.0788,0.883,0.00235,0.183,0.462,115.735
83,George Jones,Least of All - 1988 - Remaster,False,0.473,0.165,9,-13.736,1,0.0275,0.89,0.0,0.177,0.515,90.324
84,Doris Day,Makin' Whoopee!,False,0.513,0.173,0,-13.2,1,0.075,0.879,3.72e-06,0.128,0.525,101.764
85,Ray Conniff,Silver Bells,False,0.464,0.184,9,-18.943,1,0.0283,0.859,0.0,0.201,0.426,106.273
86,Julie Andrews,Shall We Dance? [The King and I],False,0.497,0.198,3,-19.858,1,0.089,0.886,0.0,0.247,0.525,109.528
87,George Jones,Keep the Change,False,0.455,0.215,0,-14.38,1,0.0305,0.853,1.82e-05,0.2,0.488,103.47
88,Devon Marie McDaniel,The Distance,False,0.478,0.193,10,-17.671,1,0.051,0.834,0.00224,0.118,0.526,108.1
89,Joan Baez,Colours,False,0.485,0.131,7,-19.541,1,0.0307,0.841,3.8e-06,0.116,0.54,100.786
90,Selena,Feelings,False,0.478,0.2,0,-9.47,1,0.0286,0.843,0.0,0.186,0.434,92.6
91,America,The First Noel,False,0.475,0.13,0,-14.227,1,0.0293,0.91,0.0,0.135,0.508,101.658
92,Harry Belafonte,Train Song (Mbombela),False,0.509,0.18,7,-15.652,1,0.0334,0.891,0.0,0.163,0.491,118.635
93,Paper Aeroplanes,Painkiller,False,0.425,0.149,9,-13.999,1,0.0366,0.83,2.78e-05,0.175,0.443,100.101
94,Wild Rivers,Rolling Stone,False,0.455,0.163,0,-14.456,1,0.0405,0.853,9.12e-05,0.113,0.504,92.423
95,Tatiana Manaois,Choose,False,0.562,0.165,0,-11.373,1,0.0695,0.901,0.0,0.176,0.524,97.154
96,The High Kings,Red Is The Rose,False,0.498,0.138,4,-10.817,1,0.0448,0.881,0.0,0.169,0.47,110.976
97,Brenda Lee,Silver Bells,False,0.479,0.167,5,-9.882,1,0.0268,0.88,0.0,0.104,0.503,94.541
98,Harry Belafonte,Bally Mena,False,0.493,0.189,4,-13.853,1,0.0298,0.898,0.0,0.149,0.507,97.758
99,Simon & Garfunkel,"Wednesday Morning, 3 A.M.",False,0.497,0.194,5,-17.237,1,0.0364,0.828,1.88e-05,0.102,0.511,105.656
