name,pid,num_tracks,num_holdouts,holdout_ratio
edm chill,1000142,26,26,1.0
happy.,1000147,44,44,1.0
My music,1000150,40,40,1.0
Bonfire,1000151,47,47,1.0
mo,1000152,10,10,1.0
feels ,1000155,14,14,1.0
May,1000157,21,21,1.0
🤘🏼🤘🏼,1000158,31,31,1.0
Back to the Past,1000161,12,12,1.0
MAY '15,1000165,34,34,1.0
Bruh,1000167,19,19,1.0
/slow/,1000169,18,18,1.0
Classics,1000171,33,33,1.0
Workout,1000173,35,35,1.0
chilling,1000175,34,34,1.0
Those days ,1000176,34,34,1.0
One,1000179,37,37,1.0
gains,1000180,31,31,1.0
CHRISTmas,1000182,17,17,1.0
Music,1000183,34,34,1.0
Good music,1000185,14,14,1.0
Lord,1000186,14,14,1.0
rap,1000192,31,31,1.0
pch,1000195,31,31,1.0
Emotion,1000203,25,25,1.0
ice,1000208,50,50,1.0
Happy,1000212,32,32,1.0
Old Rock,1000223,29,29,1.0
Summer 2012,1000226,43,43,1.0
sad,1000232,21,21,1.0
bittersweet,1000233,12,12,1.0
7/11,1000235,17,17,1.0
Summer 2016,1000238,34,34,1.0
hell yeah,1000242,13,13,1.0
My Jams,1000243,26,26,1.0
gentle ,1000247,21,21,1.0
Ayo,1000254,10,10,1.0
rap,1000255,29,29,1.0
rap music,1000256,37,37,1.0
love,1000257,49,49,1.0
christmas jams!,1000260,19,19,1.0
ay,1000263,46,46,1.0
formal,1000267,34,34,1.0
Alt,1000268,16,16,1.0
pregame,1000271,15,15,1.0
Beach Music,1000272,18,18,1.0
liam,1000275,47,47,1.0
august 2016,1000278,48,48,1.0
spicy,1000279,28,28,1.0
December 2013 ,1000281,28,28,1.0
summer 2017,1000283,32,32,1.0
kaylee,1000285,40,40,1.0
Fuego,1000288,46,46,1.0
Motivation,1000289,25,25,1.0
april showers,1000290,14,14,1.0
Lounge,1000293,44,44,1.0
Summer,1000294,41,41,1.0
Old Country,1000296,31,31,1.0
yo,1000299,12,12,1.0
dog days,1000301,33,33,1.0
the jams ,1000302,39,39,1.0
summer,1000303,12,12,1.0
Rock ,1000311,12,12,1.0
summer hits,1000316,45,45,1.0
Good Stuff,1000317,43,43,1.0
car,1000318,35,35,1.0
early 2000s,1000319,40,40,1.0
The Grind,1000324,39,39,1.0
good morning,1000329,10,10,1.0
luv ,1000330,22,22,1.0
Camp,1000331,42,42,1.0
Crooners,1000333,18,18,1.0
Mornings,1000334,23,23,1.0
Disney,1000340,14,14,1.0
CHRISTMAS MUSIC,1000346,29,29,1.0
october,1000351,25,25,1.0
WEDDING ,1000352,14,14,1.0
Sleep,1000353,18,18,1.0
Jesus Jams,1000354,49,49,1.0
Fall 2016,1000358,14,14,1.0
Love ,1000360,49,49,1.0
Reggaeton,1000362,29,29,1.0
car ride,1000363,18,18,1.0
Shine,1000364,17,17,1.0
Drive,1000366,32,32,1.0
Classics,1000370,24,24,1.0
workout,1000373,47,47,1.0
December,1000377,14,14,1.0
OCTOBER,1000378,40,40,1.0
2009,1000379,47,47,1.0
THROWBACKS,1000380,34,34,1.0
💕💕,1000382,36,36,1.0
Spring Fling,1000383,10,10,1.0
golf,1000387,15,15,1.0
Roadtrip,1000391,36,36,1.0
Girl Power,1000396,14,14,1.0
Running Playlist,1000397,46,46,1.0
new songs,1000399,23,23,1.0
Mellow,1000401,35,35,1.0
SPANISH,1000402,26,26,1.0
Life is Good,1000405,25,25,1.0
mmm,1000409,25,25,1.0
Moana,1000411,14,14,1.0
Instrumentals,1000412,21,21,1.0
Ariel,1000416,25,25,1.0
Drowning ,1000417,12,12,1.0
writing playlist,1000418,22,22,1.0
January 2017,1000420,10,10,1.0
Spring 2017 ,1000426,39,39,1.0
old songs,1000427,31,31,1.0
❤️,1000428,44,44,1.0
summa 16,1000429,37,37,1.0
Slow Stuff,1000432,21,21,1.0
dinner,1000434,31,31,1.0
may,1000438,24,24,1.0
aux,1000441,31,31,1.0
mothers day,1000442,22,22,1.0
MAY.17,1000443,14,14,1.0
Workout,1000449,29,29,1.0
Hypebeast,1000457,11,11,1.0
Wedding songs ,1000458,18,18,1.0
THE List,1000459,15,15,1.0
christmas,1000460,36,36,1.0
throwback,1000462,45,45,1.0
Country Vibes ,1000470,30,30,1.0
Rap 2016,1000471,35,35,1.0
February 16,1000474,18,18,1.0
Covers,1000477,16,16,1.0
RUNNING,1000482,26,26,1.0
Disco,1000483,44,44,1.0
Jump,1000491,15,15,1.0
Love,1000496,41,41,1.0
morning playlist,1000497,34,34,1.0
The Feel-Good Flavors Playlist,1000498,40,40,1.0
Closer,1000502,15,15,1.0
Disney,1000503,16,16,1.0
mix ,1000504,18,18,1.0
vibes,1000505,42,42,1.0
Better Together,1000507,32,32,1.0
run run run,1000513,28,28,1.0
tomorrow ,1000515,31,31,1.0
workout,1000516,22,22,1.0
Summer jams,1000520,16,16,1.0
Shower,1000528,35,35,1.0
random faves ,1000529,30,30,1.0
Best Songs Ever,1000530,46,46,1.0
Prayer,1000531,23,23,1.0
car,1000534,38,38,1.0
Christmas Jamz,1000537,17,17,1.0
Morning ,1000541,18,18,1.0
Disney,1000549,30,30,1.0
fireside,1000552,20,20,1.0
Worship,1000555,34,34,1.0
January,1000559,35,35,1.0
wedding dinner music,1000562,33,33,1.0
Twerkout,1000567,42,42,1.0
erin,1000569,14,14,1.0
r&b,1000570,36,36,1.0
house,1000572,21,21,1.0
Christmas,1000573,18,18,1.0
funky,1000583,24,24,1.0
ALL IN!!!,1000584,14,14,1.0
christain,1000585,36,36,1.0
peace,1000589,39,39,1.0
throwbacks,1000591,40,40,1.0
Gangsta,1000596,21,21,1.0
Yoga,1000604,11,11,1.0
folk yeah,1000616,19,19,1.0
Now,1000622,34,34,1.0
🔥🔥🔥,1000626,42,42,1.0
TRAP ,1000630,16,16,1.0
soundtracks,1000634,19,19,1.0
Lista oficial Sense8,1000643,20,20,1.0
Bid Day,1000645,47,47,1.0
Newish,1000646,21,21,1.0
Gym,1000651,28,28,1.0
je t'aime. ,1000656,41,41,1.0
Sirens,1000659,31,31,1.0
latin,1000661,38,38,1.0
Disney,1000662,22,22,1.0
Boii!!,1000664,39,39,1.0
Elect,1000665,45,45,1.0
Soul,1000667,11,11,1.0
☺️,1000669,33,33,1.0
samples ,1000670,11,11,1.0
feels,1000672,39,39,1.0
Top songs,1000675,39,39,1.0
2013,1000684,36,36,1.0
Party Bus,1000689,41,41,1.0
Gospel ,1000690,21,21,1.0
sexy playlist,1000691,37,37,1.0
leg day,1000697,18,18,1.0
Oldies,1000698,29,29,1.0
Pregame,1000699,45,45,1.0
Christmas,1000701,42,42,1.0
Sorry Not Sorry,1000703,15,15,1.0
La Vie En Rose,1000705,45,45,1.0
shower tunes,1000710,25,25,1.0
Hannah,1000714,14,14,1.0
people,1000715,21,21,1.0
aug. ,1000718,23,23,1.0
fall 2016,1000727,12,12,1.0
ESKETIT,1000729,13,13,1.0
warmup,1000731,26,26,1.0
august,1000735,16,16,1.0
fire,1000738,10,10,1.0
Germany,1000739,31,31,1.0
Fiesta,1000742,16,16,1.0
arizona,1000746,19,19,1.0
SUMMER 17,1000747,43,43,1.0
May playlist,1000753,18,18,1.0
JANUARY 2016,1000755,25,25,1.0
Techno,1000758,45,45,1.0
Summer 2016,1000759,24,24,1.0
Running,1000760,36,36,1.0
Hip to the Hop,1000763,19,19,1.0
old country,1000764,16,16,1.0
Bangers,1000766,24,24,1.0
gracie,1000769,29,29,1.0
Fire🔥,1000776,25,25,1.0
 cheer up ,1000781,15,15,1.0
EDM,1000782,16,16,1.0
Grl Pwr ,1000783,17,17,1.0
Summer 2017,1000784,43,43,1.0
Road Trippin',1000790,29,29,1.0
All Time Favorites,1000797,20,20,1.0
jams,1000804,33,33,1.0
you,1000805,20,20,1.0
Love Yourself,1000806,31,31,1.0
DC,1000809,35,35,1.0
oldies,1000810,42,42,1.0
CAR 2,1000811,22,22,1.0
new ,1000813,34,34,1.0
feel good,1000815,11,11,1.0
Football,1000817,20,20,1.0
pregame,1000818,28,28,1.0
groovy,1000819,32,32,1.0
shower,1000820,26,26,1.0
Drive ,1000821,30,30,1.0
Mellow Tunes,1000824,44,44,1.0
July 2014,1000825,11,11,1.0
Workout!💪🏼,1000829,43,43,1.0
January,1000831,13,13,1.0
syd,1000832,11,11,1.0
Dinner Party,1000833,45,45,1.0
LIT,1000836,46,46,1.0
BOUNCE,1000837,16,16,1.0
Sunday Morning,1000838,23,23,1.0
Yuh,1000839,48,48,1.0
college,1000842,20,20,1.0
Wait,1000847,23,23,1.0
💃🏽,1000848,26,26,1.0
new,1000853,27,27,1.0
Happy Daze,1000855,44,44,1.0
Rap,1000856,30,30,1.0
rap,1000858,35,35,1.0
good vibes,1000860,14,14,1.0
Alt,1000861,35,35,1.0
pop,1000865,15,15,1.0
thursday,1000868,37,37,1.0
Summer,1000869,32,32,1.0
spanish mix,1000871,14,14,1.0
tunessss,1000873,38,38,1.0
chill out ,1000880,26,26,1.0
Disney,1000882,44,44,1.0
cali,1000885,28,28,1.0
Summer Lovin',1000888,23,23,1.0
love,1000892,43,43,1.0
April,1000893,37,37,1.0
Rap,1000897,40,40,1.0
shower songs,1000898,17,17,1.0
winter break,1000899,34,34,1.0
Rock 2.0,1000902,26,26,1.0
Yoga 5,1000904,12,12,1.0
Jesus,1000907,37,37,1.0
Spain!,1000908,16,16,1.0
Good,1000912,39,39,1.0
party playlist,1000914,43,43,1.0
Regeton,1000919,10,10,1.0
Study Vibes,1000920,15,15,1.0
folkish,1000928,40,40,1.0
P1,1000930,32,32,1.0
car rides,1000932,27,27,1.0
just drive ,1000933,24,24,1.0
Feel Goods,1000935,26,26,1.0
Feelz,1000943,33,33,1.0
old country,1000944,33,33,1.0
The Best,1000951,47,47,1.0
Goodbye ,1000955,19,19,1.0
PARTY,1000965,19,19,1.0
Car Jams,1000966,26,26,1.0
cc,1000970,24,24,1.0
Punky,1000972,18,18,1.0
Hamilton (Original Broadway Cast Recording),1000973,47,47,1.0
Weird,1000976,39,39,1.0
the goods,1000978,18,18,1.0
vibey,1000981,49,49,1.0
Summer 2014,1000982,16,16,1.0
Wo,1000984,40,40,1.0
<3,1000988,43,43,1.0
happiness,1000989,20,20,1.0
indie jams,1000990,36,36,1.0
rainy day,1000991,50,50,1.0
country favorites ,1000993,48,48,1.0
acustic,1000996,17,17,1.0
tunes,1000998,25,25,1.0
Island Vibes,1001000,23,23,1.0
Now Or Never,1001002,35,35,1.0
pch,1001003,21,21,1.0
rock. ,1001004,25,25,1.0
Sick Jams,1001005,48,48,1.0
90's,1001007,47,47,1.0
Jesus Jams,1001008,20,20,1.0
alt rock,1001009,25,25,1.0
saturday,1001011,27,27,1.0
Anger,1001013,43,43,1.0
alt.,1001014,41,41,1.0
Gym,1001015,48,48,1.0
Top Country,1001018,24,24,1.0
Van,1001022,29,29,1.0
Imagine ,1001026,21,21,1.0
trip hop,1001028,18,18,1.0
420 ,1001030,16,16,1.0
Narco Corridos,1001031,40,40,1.0
Ohh,1001032,21,21,1.0
chill vibes,1001033,40,40,1.0
Yes please,1001034,38,38,1.0
Disney,1001035,17,17,1.0
chillin,1001040,16,16,1.0
Summer Jamz,1001041,23,23,1.0
Work Flow,1001048,30,30,1.0
Why Not,1001051,27,27,1.0
Feel Good Country,1001060,38,38,1.0
tunes ;),1001061,20,20,1.0
May Flowers,1001062,26,26,1.0
#boostyourrun,1001063,21,21,1.0
Rap Playlist,1001073,43,43,1.0
PARTY ,1001074,49,49,1.0
Drake,1001075,17,17,1.0
Aye,1001077,36,36,1.0
Sean,1001081,21,21,1.0
lo mejor,1001082,41,41,1.0
Seattle,1001083,47,47,1.0
Dope,1001086,31,31,1.0
This,1001087,31,31,1.0
On the go,1001089,33,33,1.0
Pop,1001090,46,46,1.0
punk goes _______,1001091,25,25,1.0
Instrumental,1001092,11,11,1.0
MARCH,1001094,25,25,1.0
hype up,1001098,31,31,1.0
Junior,1001103,17,17,1.0
work,1001104,32,32,1.0
☕️,1001107,17,17,1.0
Workout,1001108,16,16,1.0
Pool Time,1001109,30,30,1.0
maddie,1001111,34,34,1.0
General ,1001112,24,24,1.0
lit,1001115,31,31,1.0
Fall 2014,1001119,36,36,1.0
Favorite Worship,1001121,50,50,1.0
Body Party,1001123,30,30,1.0
right now,1001124,19,19,1.0
summer,1001130,50,50,1.0
vibess,1001134,22,22,1.0
happy vibes,1001135,17,17,1.0
JM;),1001136,45,45,1.0
classic rock,1001137,36,36,1.0
Road Trip,1001142,34,34,1.0
summer '17,1001146,30,30,1.0
Feels.,1001147,21,21,1.0
Rob,1001148,14,14,1.0
HOOPS,1001149,11,11,1.0
11.16,1001151,19,19,1.0
boating,1001154,44,44,1.0
Boat Tunes,1001160,43,43,1.0
Chillin,1001161,20,20,1.0
vbs,1001166,25,25,1.0
:08 ,1001167,20,20,1.0
greatest hits,1001168,13,13,1.0
Fire,1001176,28,28,1.0
Christmas,1001177,48,48,1.0
Chill 2,1001178,28,28,1.0
<3,1001180,22,22,1.0
Gaming,1001181,31,31,1.0
new years ,1001183,23,23,1.0
work out ,1001185,31,31,1.0
u know,1001186,28,28,1.0
Today's Hits,1001188,27,27,1.0
Game Time,1001191,13,13,1.0
Express Yourself,1001195,47,47,1.0
classic rock,1001196,16,16,1.0
💚💚💚,1001197,17,17,1.0
mine,1001198,30,30,1.0
Young And Beautiful,1001199,43,43,1.0
Worship,1001200,36,36,1.0
Chillin,1001201,45,45,1.0
lov,1001205,28,28,1.0
April 2016,1001211,30,30,1.0
Fall 2017,1001212,35,35,1.0
Happy:),1001226,38,38,1.0
dance music,1001228,46,46,1.0
Alison,1001229,37,37,1.0
New Jams,1001230,25,25,1.0
jams,1001231,30,30,1.0
rap/hop,1001232,12,12,1.0
Random,1001234,21,21,1.0
City,1001236,31,31,1.0
pc,1001241,16,16,1.0
Christmas🎄,1001245,27,27,1.0
Rap,1001247,33,33,1.0
Beat,1001248,47,47,1.0
Diamonds,1001252,10,10,1.0
throwback,1001256,38,38,1.0
SP,1001257,45,45,1.0
Oh,1001269,42,42,1.0
Bam,1001271,37,37,1.0
simp,1001272,48,48,1.0
GOTG,1001275,12,12,1.0
Fall 2013,1001277,23,23,1.0
workout,1001281,16,16,1.0
Wedding,1001283,23,23,1.0
throwback,1001285,48,48,1.0
party music,1001288,44,44,1.0
race,1001290,31,31,1.0
Its_lit,1001295,16,16,1.0
dance,1001296,46,46,1.0
Mood,1001298,22,22,1.0
Rocket League,1001300,35,35,1.0
praise,1001304,21,21,1.0
music ,1001305,23,23,1.0
morning,1001308,14,14,1.0
February,1001310,34,34,1.0
Play it Forward,1001311,30,30,1.0
ay,1001313,15,15,1.0
kh,1001318,43,43,1.0
Crystal,1001319,46,46,1.0
skateboarding,1001322,16,16,1.0
Christmas,1001332,15,15,1.0
Summer 17,1001335,31,31,1.0
random,1001336,24,24,1.0
Mellow,1001339,24,24,1.0
Sleep,1001345,27,27,1.0
ho ho ho,1001349,26,26,1.0
sleep 2,1001350,39,39,1.0
LIT,1001352,25,25,1.0
joe,1001353,32,32,1.0
december ,1001355,12,12,1.0
Packing,1001356,34,34,1.0
spicy ,1001357,23,23,1.0
so good,1001358,14,14,1.0
tropical,1001361,37,37,1.0
C H I L L,1001362,43,43,1.0
Older Songs,1001365,10,10,1.0
#top songs,1001367,40,40,1.0
ss17,1001369,22,22,1.0
yoga,1001370,27,27,1.0
Here,1001371,38,38,1.0
Awesome,1001373,23,23,1.0
summer ,1001374,42,42,1.0
for jess,1001377,15,15,1.0
concentrate,1001378,13,13,1.0
idk,1001380,11,11,1.0
Electric Love,1001382,13,13,1.0
Rap,1001385,19,19,1.0
May 2017,1001386,44,44,1.0
Christmas,1001395,47,47,1.0
Sleep,1001402,18,18,1.0
Castle,1001405,30,30,1.0
danny,1001406,17,17,1.0
Girl Power,1001408,41,41,1.0
spring break. ,1001411,50,50,1.0
oldies,1001414,28,28,1.0
Nostalgia,1001415,13,13,1.0
21,1001416,26,26,1.0
partyyy,1001420,46,46,1.0
Spring 2017,1001421,24,24,1.0
Wedding,1001422,45,45,1.0
Good songs,1001423,25,25,1.0
getting ready,1001425,34,34,1.0
koala,1001427,24,24,1.0
vacation,1001428,26,26,1.0
Stuff,1001429,16,16,1.0
April,1001430,34,34,1.0
contemp,1001434,36,36,1.0
jams,1001439,25,25,1.0
Oldies,1001440,24,24,1.0
pool,1001444,28,28,1.0
summer 2014,1001447,21,21,1.0
Morning Mix,1001451,47,47,1.0
Content,1001453,20,20,1.0
Bangers ,1001455,32,32,1.0
chillin,1001458,29,29,1.0
Werkout,1001460,39,39,1.0
Lounge,1001461,18,18,1.0
Wedding Reception,1001463,41,41,1.0
Bacon,1001464,18,18,1.0
march 15,1001465,22,22,1.0
 best country,1001467,46,46,1.0
Spring 2013,1001468,27,27,1.0
🔥lit🔥,1001470,21,21,1.0
PartyBus,1001472,31,31,1.0
Country Feels,1001475,32,32,1.0
Road Trip!,1001477,12,12,1.0
Too Cool For School,1001478,15,15,1.0
tbt,1001480,31,31,1.0
music,1001483,14,14,1.0
feminism,1001484,17,17,1.0
jam,1001485,30,30,1.0
feel good,1001488,24,24,1.0
Fall Feels,1001489,35,35,1.0
Kids,1001491,31,31,1.0
Counrty ,1001492,45,45,1.0
Summer 2013,1001493,34,34,1.0
vibes,1001494,12,12,1.0
New,1001499,31,31,1.0
new ,1001504,12,12,1.0
workout,1001505,16,16,1.0
Faded,1001506,26,26,1.0
Casper,1001510,31,31,1.0
head bangers,1001511,42,42,1.0
My 80's,1001513,21,21,1.0
SUMMER 2016,1001514,50,50,1.0
sad songs.,1001517,46,46,1.0
Legends ,1001518,29,29,1.0
Ella,1001520,39,39,1.0
music,1001522,35,35,1.0
Workout Music,1001523,46,46,1.0
litty,1001525,36,36,1.0
love,1001526,19,19,1.0
Rap,1001528,47,47,1.0
Josh,1001531,19,19,1.0
 Reggae,1001536,15,15,1.0
Dinner,1001538,22,22,1.0
Hipster,1001540,32,32,1.0
Music,1001544,35,35,1.0
Classic rock,1001552,12,12,1.0
My Mix,1001555,25,25,1.0
Spoon,1001559,29,29,1.0
Kickin' It,1001561,50,50,1.0
Classics ,1001564,22,22,1.0
pop,1001570,10,10,1.0
Memories,1001574,15,15,1.0
feb,1001575,37,37,1.0
Classic Rock,1001577,25,25,1.0
Summer in the City!,1001581,45,45,1.0
Alternative,1001582,19,19,1.0
80's Baby!,1001583,46,46,1.0
aye,1001584,13,13,1.0
Spanish,1001585,42,42,1.0
Mood Music,1001588,36,36,1.0
wedding songs,1001590,16,16,1.0
natalie,1001596,19,19,1.0
party,1001598,15,15,1.0
America ,1001599,47,47,1.0
Corridos,1001600,20,20,1.0
2018,1001601,20,20,1.0
worship,1001609,30,30,1.0
homework,1001610,46,46,1.0
Electric,1001614,10,10,1.0
fire,1001616,38,38,1.0
spring,1001622,15,15,1.0
dope,1001623,16,16,1.0
Christian workout,1001626,14,14,1.0
Wanderlust ,1001627,42,42,1.0
moms,1001630,35,35,1.0
Throwbacks,1001632,43,43,1.0
IV,1001642,39,39,1.0
roadtrip,1001643,38,38,1.0
pump up,1001644,21,21,1.0
February 2016,1001648,18,18,1.0
Electronica,1001649,12,12,1.0
feels,1001652,44,44,1.0
NUT,1001659,23,23,1.0
Heartbreak,1001660,48,48,1.0
my list,1001664,24,24,1.0
Wedding DINNER,1001665,26,26,1.0
pump it up ,1001672,33,33,1.0
sleeps,1001673,20,20,1.0
Space Jam,1001674,46,46,1.0
worship ,1001678,35,35,1.0
Music,1001683,33,33,1.0
Universal stereo,1001686,18,18,1.0
Family,1001687,32,32,1.0
old hip hop,1001689,13,13,1.0
top,1001690,32,32,1.0
For Ashley,1001691,45,45,1.0
Summer Songs,1001696,23,23,1.0
The Story,1001699,14,14,1.0
Chill Pill,1001704,37,37,1.0
soft,1001705,26,26,1.0
Vibez,1001707,36,36,1.0
Summer 2014,1001710,33,33,1.0
rock n roll,1001711,21,21,1.0
henry,1001712,22,22,1.0
January 2016,1001713,40,40,1.0
skrt,1001714,14,14,1.0
good oldies,1001715,30,30,1.0
christian,1001717,21,21,1.0
tbt,1001718,48,48,1.0
country jams,1001719,36,36,1.0
crossfit,1001720,37,37,1.0
Tommy,1001725,14,14,1.0
partay,1001727,42,42,1.0
lit🔥,1001729,27,27,1.0
01/17,1001731,46,46,1.0
💩💩,1001732,21,21,1.0
Alex,1001739,45,45,1.0
Before,1001740,13,13,1.0
hype,1001742,35,35,1.0
Gr8,1001743,19,19,1.0
songs to sing to,1001744,27,27,1.0
Inside Out,1001749,43,43,1.0
Party,1001750,45,45,1.0
Summertime,1001754,40,40,1.0
Tropical House,1001756,28,28,1.0
Spring 2015,1001758,15,15,1.0
bangerz,1001760,33,33,1.0
Basics,1001761,31,31,1.0
classic rock,1001762,38,38,1.0
New Worship,1001763,15,15,1.0
Shower,1001764,46,46,1.0
Kg,1001765,46,46,1.0
favesss,1001766,20,20,1.0
my heart,1001770,15,15,1.0
Stream,1001772,15,15,1.0
New Wave,1001774,10,10,1.0
New Hip Hop,1001775,32,32,1.0
NOW,1001776,10,10,1.0
Running,1001778,37,37,1.0
disney!!!,1001785,35,35,1.0
Late Summer,1001787,13,13,1.0
Old School,1001791,26,26,1.0
Running,1001794,19,19,1.0
christmas,1001795,49,49,1.0
happy,1001797,19,19,1.0
V A P O R W A V E,1001799,14,14,1.0
1980s,1001800,48,48,1.0
upbeat,1001805,34,34,1.0
Old Stuff,1001806,31,31,1.0
90s nostalgia,1001809,37,37,1.0
Soul,1001810,18,18,1.0
1960's,1001811,39,39,1.0
tb,1001815,36,36,1.0
Cool Down,1001816,12,12,1.0
rap,1001817,38,38,1.0
oldschool,1001821,39,39,1.0
Current,1001824,42,42,1.0
New country,1001827,35,35,1.0
May Flowers,1001835,18,18,1.0
Jams,1001836,50,50,1.0
idk,1001837,45,45,1.0
Move,1001840,12,12,1.0
Awesome Songs ,1001841,48,48,1.0
So High,1001842,48,48,1.0
April 2015,1001851,47,47,1.0
MEXICO,1001853,39,39,1.0
oldies,1001861,19,19,1.0
Hip hop ,1001871,35,35,1.0
Workout,1001872,44,44,1.0
best songs ever,1001875,25,25,1.0
cry,1001876,33,33,1.0
Yoga 3,1001878,12,12,1.0
homework,1001880,15,15,1.0
Summer Hits ,1001882,22,22,1.0
lit,1001885,17,17,1.0
chance the rapper ,1001888,33,33,1.0
cookout,1001889,25,25,1.0
NWA,1001896,11,11,1.0
Summer '17,1001899,32,32,1.0
march 17,1001907,14,14,1.0
Pentatonix ,1001908,27,27,1.0
Ed Sheeran ,1001910,49,49,1.0
2000's,1001916,50,50,1.0
Dig It,1001917,36,36,1.0
Worship,1001919,21,21,1.0
mellow,1001920,32,32,1.0
Gatsby,1001925,20,20,1.0
Neo Soul,1001928,35,35,1.0
November 2015,1001929,20,20,1.0
❤️❤️❤️❤️❤️,1001931,16,16,1.0
jasper,1001935,10,10,1.0
Line,1001937,14,14,1.0
Blah,1001941,46,46,1.0
Eminem,1001942,44,44,1.0
Happy Christmas,1001944,29,29,1.0
Candlelight,1001946,11,11,1.0
Lift,1001949,50,50,1.0
WINTER,1001950,18,18,1.0
madi,1001953,31,31,1.0
Funky,1001957,29,29,1.0
chillin,1001962,26,26,1.0
stretching,1001963,14,14,1.0
Disney,1001969,34,34,1.0
Fun.,1001970,36,36,1.0
Dance,1001976,30,30,1.0
August 2016,1001981,37,37,1.0
oldies,1001983,17,17,1.0
DIO,1001985,31,31,1.0
vibes,1001987,19,19,1.0
Prog,1001988,31,31,1.0
Persian,1001990,18,18,1.0
RAIN,1001991,13,13,1.0
Randoms,1001992,41,41,1.0
HALLOWEEN,1001994,20,20,1.0
banks,1002004,31,31,1.0
best,1002007,27,27,1.0
skrt skrt,1002009,20,20,1.0
Christmas,1002020,28,28,1.0
anytime,1002025,10,10,1.0
Boat,1002026,40,40,1.0
🚗🚗,1002027,23,23,1.0
Now,1002028,30,30,1.0
Travel Tunes,1002031,17,17,1.0
Ar,1002039,34,34,1.0
idek,1002040,30,30,1.0
<3,1002041,34,34,1.0
sleep ,1002042,17,17,1.0
Disney,1002044,33,33,1.0
lol,1002047,13,13,1.0
Spanish,1002048,31,31,1.0
Stay Woke,1002056,22,22,1.0
Oldies but Goodies,1002058,46,46,1.0
Slow Jamz,1002059,15,15,1.0
Beach Vibes,1002064,37,37,1.0
Feel the Beat,1002065,18,18,1.0
bed time,1002068,24,24,1.0
EDM,1002069,18,18,1.0
Run mix,1002071,22,22,1.0
hoco,1002076,35,35,1.0
Meg,1002078,24,24,1.0
road trips,1002080,42,42,1.0
80's Playlist,1002081,27,27,1.0
This one.,1002082,22,22,1.0
Work Out,1002083,22,22,1.0
Allie,1002085,36,36,1.0
Shower Songs,1002086,22,22,1.0
☠️,1002087,30,30,1.0
NCS,1002089,31,31,1.0
oldies,1002091,42,42,1.0
HH,1002092,38,38,1.0
Summer '14,1002096,45,45,1.0
Hop Hip,1002102,26,26,1.0
C H R I S T M A S ,1002104,33,33,1.0
Current Mood,1002108,12,12,1.0
Butter,1002113,18,18,1.0
Moms playlist,1002114,39,39,1.0
Casa,1002115,33,33,1.0
Bangers,1002118,26,26,1.0
road trip,1002119,27,27,1.0
america,1002121,35,35,1.0
Get Low ,1002124,19,19,1.0
EDM,1002125,42,42,1.0
Corridos,1002130,10,10,1.0
gym,1002131,17,17,1.0
Carpool Karaoke,1002132,11,11,1.0
ovoxo,1002134,12,12,1.0
eminem,1002137,14,14,1.0
Rap,1002139,45,45,1.0
bangers,1002140,26,26,1.0
party,1002143,44,44,1.0
summer 17,1002144,37,37,1.0
untitled ,1002145,14,14,1.0
driving,1002146,32,32,1.0
Kids,1002147,24,24,1.0
